Tanggal Transaksi,Nama Resto,Tipe Pesanan,Nomor Pesanan,Rating untuk Resto,Review,Nama Menu,Tag yang Dipilih
10/2/2024,Nasi Goreng Polonia,Gofood Delivery,F-2616596270,4,,"Nasi Goreng Kambing, Kwetiau Goreng / Kuah Ayam Bakso",
10/2/2024,Nasi Goreng Polonia,Gofood Delivery,F-2616596270,4,,"Nasi Goreng Kambing, Kwetiau Goreng / Kuah Ayam Bakso",
10/2/2024,Nasi Goreng Polonia,Gofood Delivery,F-2616596270,4,,"Nasi Goreng Kambing, Kwetiau Goreng / Kuah Ayam Bakso",
10/7/2024,Nasi Goreng Polonia,Gofood Delivery,F-2622650317,5,,Nasi Goreng Ati Ampela,
10/7/2024,Nasi Goreng Polonia,Gofood Delivery,F-2622650317,5,,Nasi Goreng Ati Ampela,
10/7/2024,Nasi Goreng Polonia,Gofood Delivery,F-2622650317,5,,Nasi Goreng Ati Ampela,
10/10/2024,Nasi Goreng Polonia,Gofood Delivery,F-2625760663,5,,"Kwetiau Siram, Nasi Goreng Ati Ampela",
10/10/2024,Nasi Goreng Polonia,Gofood Delivery,F-2625760663,5,,"Kwetiau Siram, Nasi Goreng Ati Ampela",
10/10/2024,Nasi Goreng Polonia,Gofood Delivery,F-2625760663,5,,"Kwetiau Siram, Nasi Goreng Ati Ampela",
10/11/2024,Nasi Goreng Polonia,Gofood Delivery,F-2626691980,5,,"Nasi Goreng Pete Ati Ampela, Nasi Goreng Kambing, Nasi Goreng Ayam Bakso",
10/11/2024,Nasi Goreng Polonia,Gofood Delivery,F-2626691980,5,,"Nasi Goreng Pete Ati Ampela, Nasi Goreng Kambing, Nasi Goreng Ayam Bakso",
10/11/2024,Nasi Goreng Polonia,Gofood Delivery,F-2626691980,5,,"Nasi Goreng Pete Ati Ampela, Nasi Goreng Kambing, Nasi Goreng Ayam Bakso",
10/13/2024,Nasi Goreng Polonia,Gofood Delivery,F-2629362503,3,"kali ini saya berikan bintang 3 saja
sebelum2nya tdk pernah ada issue pemesanan
tapi kali ini pesanan kwetiau kuah ayam bakso yg sy pesan tanpa catatan pedan atau pedas sedang,
makanan yang datang pedas, 
saya tidak berikan catatan dengan maksud bahwa sajian tdk pedas/pedas sedang, ataukah harus saya berikan catatan juga?
untuk pesanan 1nya tidak masalah","Kwetiau Goreng / Kuah Ayam Bakso, Bihun Goreng / Kuah Ayam Bakso",
10/13/2024,Nasi Goreng Polonia,Gofood Delivery,F-2629362503,3,"kali ini saya berikan bintang 3 saja
sebelum2nya tdk pernah ada issue pemesanan
tapi kali ini pesanan kwetiau kuah ayam bakso yg sy pesan tanpa catatan pedan atau pedas sedang,
makanan yang datang pedas, 
saya tidak berikan catatan dengan maksud bahwa sajian tdk pedas/pedas sedang, ataukah harus saya berikan catatan juga?
untuk pesanan 1nya tidak masalah","Kwetiau Goreng / Kuah Ayam Bakso, Bihun Goreng / Kuah Ayam Bakso",
10/13/2024,Nasi Goreng Polonia,Gofood Delivery,F-2629362503,3,"kali ini saya berikan bintang 3 saja
sebelum2nya tdk pernah ada issue pemesanan
tapi kali ini pesanan kwetiau kuah ayam bakso yg sy pesan tanpa catatan pedan atau pedas sedang,
makanan yang datang pedas, 
saya tidak berikan catatan dengan maksud bahwa sajian tdk pedas/pedas sedang, ataukah harus saya berikan catatan juga?
untuk pesanan 1nya tidak masalah","Kwetiau Goreng / Kuah Ayam Bakso, Bihun Goreng / Kuah Ayam Bakso",
10/15/2024,Nasi Goreng Polonia,Gofood Delivery,F-2631519399,3,,Nasi Goreng Ati Ampela,CANNED_RESPONSE_TASTE
10/15/2024,Nasi Goreng Polonia,Gofood Delivery,F-2631519399,3,,Nasi Goreng Ati Ampela,CANNED_RESPONSE_TASTE
10/15/2024,Nasi Goreng Polonia,Gofood Delivery,F-2631519399,3,,Nasi Goreng Ati Ampela,CANNED_RESPONSE_TASTE
10/16/2024,Nasi Goreng Polonia,Gofood Delivery,F-2632771106,4,"nasi gorengnya enakkk, tapi porsinya kebanyakan utk org yang biasa makannya ga byk ???? mungkin bisa dibuat pilihan porsi nya ada yang normal dan ada yang setengah porsi. sayang bgt mubazir ??????",Nasi Goreng Ayam,
10/16/2024,Nasi Goreng Polonia,Gofood Delivery,F-2632771106,4,"nasi gorengnya enakkk, tapi porsinya kebanyakan utk org yang biasa makannya ga byk ???? mungkin bisa dibuat pilihan porsi nya ada yang normal dan ada yang setengah porsi. sayang bgt mubazir ??????",Nasi Goreng Ayam,
10/16/2024,Nasi Goreng Polonia,Gofood Delivery,F-2632771106,4,"nasi gorengnya enakkk, tapi porsinya kebanyakan utk org yang biasa makannya ga byk ???? mungkin bisa dibuat pilihan porsi nya ada yang normal dan ada yang setengah porsi. sayang bgt mubazir ??????",Nasi Goreng Ayam,
