order_id,order_datetime,rating,review,tags_raw,order_hour,order_date,has_review,has_tags
F-2616596270,2024-10-02,4,,,0,2024-10-02,0,0
F-2622650317,2024-10-07,5,,,0,2024-10-07,0,0
F-2625760663,2024-10-10,5,,,0,2024-10-10,0,0
F-2626691980,2024-10-11,5,,,0,2024-10-11,0,0
F-2629362503,2024-10-13,3,"kali ini saya berikan bintang 3 saja
sebelum2nya tdk pernah ada issue pemesanan
tapi kali ini pesanan kwetiau kuah ayam bakso yg sy pesan tanpa catatan pedan atau pedas sedang,
makanan yang datang pedas, 
saya tidak berikan catatan dengan maksud bahwa sajian tdk pedas/pedas sedang, ataukah harus saya berikan catatan juga?
untuk pesanan 1nya tidak masalah",,0,2024-10-13,1,0
F-2631519399,2024-10-15,3,,CANNED_RESPONSE_TASTE,0,2024-10-15,0,1
F-2632771106,2024-10-16,4,"nasi gorengnya enakkk, tapi porsinya kebanyakan utk org yang biasa makannya ga byk ???? mungkin bisa dibuat pilihan porsi nya ada yang normal dan ada yang setengah porsi. sayang bgt mubazir ??????",,0,2024-10-16,1,0
F-2633750482,2024-10-17,5,,,0,2024-10-17,0,0
F-2633790827,2024-10-17,5,"chef-nya memerhatikan catatan dari pembeli, porsi beneran banyak dan rasanya cukup enak. puas lah","CANNED_RESPONSE_PORTION, CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE",0,2024-10-17,1,1
F-2634627942,2024-10-18,5,,"CANNED_RESPONSE_PORTION, CANNED_RESPONSE_VALUE",0,2024-10-18,0,1
F-2639826644,2024-10-22,4,,,0,2024-10-22,0,0
F-2641962912,2024-10-24,5,,,0,2024-10-24,0,0
F-2643125700,2024-10-25,4,,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PRICE, CANNED_RESPONSE_VALUE",0,2024-10-25,0,1
F-2644043525,2024-10-26,4,,,0,2024-10-26,0,0
F-2644271758,2024-10-26,5,enakkk selalu enak pas murah meriah,,0,2024-10-26,1,0
F-2644319755,2024-10-26,5,,"CANNED_RESPONSE_PORTION, CANNED_RESPONSE_VALUE",0,2024-10-26,0,1
F-2647915245,2024-10-29,5,,,0,2024-10-29,0,0
F-2648480065,2024-10-30,1,"order mie, udh di note pedes dikit aja. naudzubillah malah pedes bgt tu mie, kagak kemakan MUBAZIR, kebuang tu miee. masa iya baca note ga keliatan, apa kudu di capslock? huu kecewa bgt
lain kali harap teliti sama note para cs!",,0,2024-10-30,1,0
F-2652819375,2024-11-02,5,,,0,2024-11-02,0,0
F-2657662638,2024-11-06,5,,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY",0,2024-11-06,0,1
F-2657702861,2024-11-06,5,,,0,2024-11-06,0,0
F-2658741574,2024-11-07,5,,,0,2024-11-07,0,0
F-2659628801,2024-11-08,3,,CANNED_RESPONSE_TASTE,0,2024-11-08,0,1
F-2665806656,2024-11-13,5,,,0,2024-11-13,0,0
F-2665994849,2024-11-13,5,,,0,2024-11-13,0,0
F-2672934919,2024-11-19,5,,,0,2024-11-19,0,0
F-2672953591,2024-11-19,4,,,0,2024-11-19,0,0
F-2678728959,2024-11-24,5,,,0,2024-11-24,0,0
F-2682475762,2024-11-27,5,,,0,2024-11-27,0,0
F-2690710334,2024-12-04,5,,,0,2024-12-04,0,0
F-2690758503,2024-12-04,5,,,0,2024-12-04,0,0
F-2691991284,2024-12-05,5,,,0,2024-12-05,0,0
F-2693536570,2024-12-07,5,,,0,2024-12-07,0,0
F-2697863576,2024-12-10,5,"mantep porsinya banyak, rasanya lezat. Best deh","CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_VALUE",0,2024-12-10,1,1
