item_id,order_id,menu_name
1,F-2616596270,Nasi Goreng Kambing
2,F-2616596270,Kwetiau Goreng / Kuah Ayam Bakso
3,F-2622650317,Nasi Goreng Ati Ampela
4,F-2625760663,Kwetiau Siram
5,F-2625760663,Nasi Goreng Ati Ampela
6,F-2626691980,Nasi Goreng Pete Ati Ampela
7,F-2626691980,Nasi Goreng Kambing
8,F-2626691980,Nasi Goreng Ayam Bakso
9,F-2629362503,Kwetiau Goreng / Kuah Ayam Bakso
10,F-2629362503,Bihun Goreng / Kuah Ayam Bakso
11,F-2631519399,Nasi Goreng Ati Ampela
12,F-2632771106,Nasi Goreng Ayam
13,F-2633750482,Kwetiau Goreng / Kuah Ayam Bakso
14,F-2633750482,Nasi Goreng Special
15,F-2633790827,Nasi Goreng Special
16,F-2634627942,Nasi Goreng Ayam Bakso
17,F-2634627942,Nasi Goreng Pete
18,F-2634627942,Nasi Goreng Special
19,F-2639826644,Nasi Goreng Ayam
20,F-2639826644,Bihun Goreng / Kuah Ayam
21,F-2641962912,Nasi Goreng Ati Ampela
22,F-2643125700,Nasi Goreng Pete Ati Ampela
23,F-2644043525,Nasi Goreng Special
24,F-2644043525,Air Jeruk
25,F-2644271758,Nasi Goreng Ati Ampela
26,F-2644271758,Bihun Goreng / Kuah Ayam Bakso
27,F-2644319755,Nasi Goreng Ati Ampela
28,F-2644319755,Capcay Goreng / Kuah
29,F-2647915245,Nasi Goreng Special
30,F-2647915245,Kwetiau Goreng / Kuah Ayam Bakso
31,F-2648480065,Mie Goreng / Kuah Ayam
32,F-2652819375,Kwetiau Goreng / Kuah Ayam Bakso
33,F-2652819375,Nasi Goreng Ayam Bakso
34,F-2657662638,Mie Goreng / Kuah Ayam
35,F-2657662638,Nasi Goreng Seafood
36,F-2657702861,Kwetiau Goreng / Kuah Ayam Bakso
37,F-2657702861,Nasi Goreng Ayam Bakso
38,F-2658741574,Nasi Goreng Ayam Bakso
39,F-2659628801,Nasi Goreng Ati Ampela
40,F-2665806656,Nasi Goreng Ati Ampela
41,F-2665994849,Nasi Goreng Special
42,F-2672934919,Nasi Goreng Ayam Bakso
43,F-2672953591,Nasi Goreng Ayam Bakso
44,F-2678728959,Nasi Goreng Ayam Bakso
45,F-2682475762,Nasi Goreng Teri Medan
46,F-2690710334,Nasi Goreng Ati Ampela
47,F-2690758503,Nasi Goreng Ikan Asin
48,F-2690758503,Nasi Goreng Pete
49,F-2691991284,Nasi Goreng Teri Medan
50,F-2693536570,Capcay Goreng / Kuah
51,F-2697863576,Nasi Goreng Special
52,F-2710283893,Bihun Goreng / Kuah Ayam
53,F-2710283893,Nasi Goreng Ayam
54,F-2711860622,Nasi Goreng Ati Ampela
55,F-2711860622,Nasi Goreng Ayam Bakso
56,F-2712751359,Nasi Goreng Special
57,F-2715157091,Nasi Goreng Special
58,F-2715157091,Nasi Goreng Pete Ati Ampela
59,F-2715157091,Air Jeruk
60,F-2715157091,Es Teh Tawar
61,F-2719869593,Nasi Goreng Special
62,F-2719869593,Nasi Goreng Kambing
63,F-2719869593,Nasi Goreng Teri Medan
64,F-2719869593,Kwetiau Goreng / Kuah Ayam Bakso
65,F-2719869593,Mie Goreng / Kuah Ayam Bakso
66,F-2720295188,Nasi Goreng Pete
67,F-2720295188,Kwetiau Kuah Ayam
68,F-2722007246,Nasi Goreng Special
69,F-2723655181,Nasi Goreng Ayam
70,F-2723655181,Nasi Goreng Pete Ati Ampela
71,F-2723655181,Nasi Goreng Pete Ati Ampela
72,F-2724429111,Nasi Goreng Ati Ampela
73,F-2724488019,Nasi Goreng Ayam Bakso
