tag_id,order_id,tag_name
1,F-2631519399,TASTE
2,F-2633790827,PORTION
3,F-2633790827,FRESHNESS
4,F-2633790827,TASTE
5,F-2634627942,PORTION
6,F-2634627942,VALUE
7,F-2643125700,FRESHNESS
8,F-2643125700,HYGIENE
9,F-2643125700,TASTE
10,F-2643125700,PRICE
11,F-2643125700,VALUE
12,F-2644319755,PORTION
13,F-2644319755,VALUE
14,F-2657662638,FRESHNESS
15,F-2657662638,TASTE
16,F-2657662638,PORTION
17,F-2657662638,PACKAGING
18,F-2657662638,HYGIENE
19,F-2657662638,VALUE
20,F-2657662638,CUTLERY
21,F-2659628801,TASTE
22,F-2697863576,FRESHNESS
23,F-2697863576,TASTE
24,F-2697863576,PORTION
25,F-2697863576,VALUE
26,F-2710283893,PORTION
27,F-2710283893,PACKAGING
28,F-2710283893,CUTLERY
29,F-2710283893,VALUE
30,F-2710283893,HYGIENE
31,F-2710283893,FRESHNESS
32,F-2710283893,TASTE
33,F-2730545794,TASTE
34,F-2730545794,PORTION
35,F-2734599289,FRESHNESS
36,F-2734599289,TASTE
37,F-2734599289,HYGIENE
38,F-2734599289,PORTION
39,F-2734599289,PACKAGING
40,F-2734599289,VALUE
41,F-2737672281,FRESHNESS
42,F-2737672281,TASTE
43,F-2737672281,PORTION
44,F-2739798137,FRESHNESS
45,F-2739798137,TASTE
46,F-2739798137,PORTION
47,F-2739798137,HYGIENE
48,F-2739798137,PACKAGING
49,F-2739798137,VALUE
50,F-2740996295,TASTE
51,F-2741916275,FRESHNESS
52,F-2741916275,TASTE
53,F-2741916275,PORTION
54,F-2741916275,HYGIENE
55,F-2741916275,PACKAGING
56,F-2741916275,VALUE
57,F-2741916275,CUTLERY
58,F-2742867012,FRESHNESS
59,F-2742867012,TASTE
60,F-2742867012,PORTION
61,F-2742867012,HYGIENE
62,F-2742867012,CUTLERY
63,F-2742867012,PACKAGING
64,F-2742867012,VALUE
65,F-2750186227,TASTE
66,F-2750186227,VALUE
67,F-2750248069,TASTE
68,F-2753981453,FRESHNESS
69,F-2753981453,TASTE
70,F-2753981453,PORTION
71,F-2753981453,HYGIENE
72,F-2753981453,PACKAGING
73,F-2753981453,VALUE
74,F-2753983608,FRESHNESS
75,F-2753983608,TASTE
76,F-2753983608,PORTION
77,F-2753983608,HYGIENE
78,F-2753983608,PACKAGING
79,F-2753983608,VALUE
80,F-2756237144,TASTE
81,F-2756356861,TASTE
82,F-2756356861,PORTION
83,F-2756356861,HYGIENE
84,F-2756356861,PACKAGING
85,F-2756356861,VALUE
86,F-2756356861,CUTLERY
87,F-2757850492,FRESHNESS
88,F-2757850492,TASTE
89,F-2757850492,PORTION
90,F-2757850492,HYGIENE
91,F-2757850492,PACKAGING
92,F-2757850492,VALUE
93,F-2757850492,CUTLERY
94,F-2757850545,FRESHNESS
95,F-2757850545,TASTE
96,F-2757850545,PORTION
97,F-2757850545,HYGIENE
98,F-2757850545,PACKAGING
99,F-2757850545,VALUE
100,F-2757850545,CUTLERY
101,F-2763805314,FRESHNESS
102,F-2763805314,TASTE
103,F-2763805314,PORTION
104,F-2763805314,HYGIENE
105,F-2763805314,PACKAGING
106,F-2763805314,VALUE
107,F-2763805314,CUTLERY
108,F-2764694850,FRESHNESS
109,F-2764694850,TASTE
110,F-2764694850,PORTION
111,F-2764694850,HYGIENE
112,F-2764694850,PACKAGING
113,F-2764694850,VALUE
114,F-2764694850,CUTLERY
115,F-2764713197,TASTE
116,F-2764713197,PORTION
117,F-2764713197,VALUE
118,F-2764713197,FRESHNESS
119,F-2765482610,FRESHNESS
120,F-2765482610,TASTE
121,F-2765482610,PORTION
122,F-2765482610,HYGIENE
123,F-2765482610,PACKAGING
124,F-2765482610,VALUE
125,F-2765482610,CUTLERY
126,F-2770432919,PORTION
127,F-2770432919,TASTE
128,F-2770432919,PACKAGING
129,F-2770432919,CUTLERY
130,F-2770432919,VALUE
131,F-2770432919,FRESHNESS
132,F-2770432919,HYGIENE
133,F-2771318720,PORTION
134,F-2772454692,TASTE
135,F-2772454692,CUTLERY_INCORRECT
136,F-2772454692,VALUE
137,F-2772454692,FRESHNESS
